記事番号,URL,サマリー
47,https://www.bloomberg.co.jp/news/videos/2022-09-12/RI2SINDWRGG101,英国：インフレが子供の弁当に波及英国ではインフレの影響で日々の食材費が高騰し、家計の子育て費用も増加している。子供の弁当の食材への影響を具体的に紹介する。動画リポート。 (Source: Bloomberg)
48,https://www.bloomberg.co.jp/news/videos/2022-09-12/RI2MLHT0G1KW01,疲れ果てた米国の教師たち米国の教師たちは長年、過労や低賃金、過小評価を感じてきた。今、数十万人もの教師が教育現場を去り、二度と戻らないと心に決めている。元教師のカアリ・オーブリ氏が一度は理想を抱いた教師の職を去った理由を語る。動画リポート。 (Source: Bloomberg)
49,https://www.bloomberg.co.jp/news/videos/2022-09-12/RI2MIFT1UM0W01,ビットコインの次の高騰ビットコイン価格の次の高騰は２年後かもしれない。ブルームバーグのエディー・バンダーウォルト記者が解説する。動画リポート。 (Source: Bloomberg)
50,https://www.bloomberg.co.jp/news/videos/2022-09-12/RI2MHKDWX2PS01,炭素排出に料金を払う機は熟したか二酸化炭素（ＣＯ２）排出を管理するための法律がないのはなぜだろうか。ブルームバーグのアクシャット・ラティ記者が解説する。動画リポート。 (Source: Bloomberg)
51,https://www.bloomberg.co.jp/news/videos/2022-09-09/RHXFR4T0G1KW01,急速な円安、外国人観光客呼び込むチャンスに－小池都知事小池百合子都知事は８日にブルームバーグが主催したイベント「ニュー・ボイス」で、「円安のメリットを生かし、より多くの外国人観光客を迎えることができる」との見解を示した。ブルームバーグの「ニュー・ボイス」は、金融メディアのプラットフォーム全体において多様化の促進を図る取り組みです。 (Source: Bloomberg)
52,https://www.bloomberg.co.jp/news/videos/2022-09-09/RHX9KNT1UM0W01,ツイッター対マスク氏テスラの最高経営責任者（ＣＥＯ）イーロン・マスク氏とツイッターの法廷対決が始まる。これまでの経緯と決着の行方をブルームバーグのカート・ワグナー記者が分析する。動画リポート。 (Source: Bloomberg)
53,https://www.bloomberg.co.jp/news/videos/2022-09-09/RHX9KHT0G1KW01,アップルのiPhone14アップルの「ファー・アウト」と題したプレゼンテーションが９月７日に行われた。マーク・ガーマン記者が 新製品発表前に「ｉＰｈｏｎｅ（アイフォーン）14」とアップルウオッチについて説明した動画リポート。 (Source: Bloomberg)
54,https://www.bloomberg.co.jp/news/videos/2022-09-09/RHX9K4DWX2PS01,全米で普及するスポーツ賭博かつてネバダ州のカジノに限られた合法のスポーツ賭博が全米に広がり、2021年には570億ドルに相当する規模となっている。その経緯と展望を動画でリポートする。 (Source: Bloomberg)
55,https://www.bloomberg.co.jp/news/videos/2022-09-09/RHX9JNT0AFB601,円がここまで弱い理由24年ぶりの円安となっている日本では、米ドルでの買い物がお得だ。インフレを上回るペースで円安が進んでいる理由をブルームバーグの森来実記者が動画でリポートする。 (Source: Bloomberg)
56,https://www.bloomberg.co.jp/news/videos/2022-09-09/RHX9I6DWRGG001,中国経済に強気か弱気か：投資家の見方中国投資には不安材料が尽きない。例えば、不動産危機や「ゼロコロナ」政策、地域的な摩擦などだ。しかし中国株のベンチマークであるＣＳＩ300指数の年初来下落率は約17％で、米国のＳ&Ｐ500種株価指数と大して違わない。今回の「マーケッツ・ライブ（ＭＬＩＶ）パルス」調査では中国経済に対する投資家の見解を聞いた。動画リポート。 (Source: Bloomberg)
